synset_id,synset_description,synset_words,wikidata_qnode,wikidata_description,wikidata_labels,gained_votes
anaspida.n.01,extinct order of jawless vertebrates,"Anaspida,order_Anaspida",Q6492791,genus of extinct jawless vertebrates,"Lasanius,Lasanius,Lasanius",7|8
leaflike.s.01,resembling a leaf,"leaflike,leaf-like",Q887004,"in botany, leaf-like part of a compound leaf","leaflet,Leaflet_(botany),leaflet,pinnae,Leaflets,leaflets,Pinnules,Leaflet_(botany)",7|8
dean.n.01,an administrator in charge of a division of a university or college,dean,Q723682,"in academics, a person with significant authority over a specific academic unit","dean,Dean_(education),academic_administrator,Vice_President_for_Academic_Affairs,Associate_Dean,college_dean,Dean_of_Students,deans,university_dean,doyen,Deputy_Dean_of_Juridical_and_Politics_Sciences_Faculty,Preside,academic_dean,dean_of_the_faculty,Vice-dean,Vice-President_of_Student_Affairs,Assistant_Dean,Acting_Dean,Dean_of_the_Dance_Department,Dean_of_Arts,Deans_of_colleges,Spezialsuperintendenten,deans',Dean_of_Faculty_of_Literature,Vice_Principal,Institutional_Dean,Provost,principal,Faculty_Dean,dean,Dean_of_Education,Junior_Dean,decanal,deputy_dean,Vice_Dean,deans_of_faculties,Dean_of_the_Graduate_School,Associate_Vice_President_and,dean_of_faculty,Executive_Dean,Vice-President_and_Dean,Associate_Dean_of_Academic_Innovation,Deans,Dean_of_Studies,Dean_of_Faculty,Law_Dean,s,Academic_Dean,dean_of_men,Dean_of_Administration,Dean_of_Chapel,dean's,Dean_of_Law,Dean_of_Juridical_and_Politics_Sciences_Faculty,Dean_of_the_Faculty,Dean_of_Engineering,Dean_(education),Dean_of_Science,Dean_of_the_Faculties,Rektor,Dean's,Interim_Dean,Principals,Dean_of_Postgraduate_Studies,Dean_of_the_School_of_Biosciences,Senior_dean,Assistant_Principal,Dean_of_Residence,Academic_Deans,Dean_Emeritus,Dean_of_Faculties,Vice_Dean_for_Education,Deans_of_Faculties,Pro-dean,Dean_of_the_School,Vice_Deans,the_Dean,education,dean_of_students,Dean,deanship,founding_dean,Vice-Dean,Principal,University_Dean,associate_dean,Vice-Principal,Dean_of_Men,vice_dean,head_dean,Dean_Academic,dean_emeritus,Dean_of_Medicine",7|8
pep_rally.n.01,a rally (especially of students) before a game,pep_rally,Q18614388,588th strip of the webcomic xkcd,"Pep_Rally,xkcd_588",7|8
iota.n.02,the 9th letter of the Greek alphabet,iota,Q14399,letter in the Greek alphabet,"Ι,ι,iota,Iota,iota,,Greek_letter_Iota,Ἰ,Ί,ι,Ῑ,Ι,Iota",7|8
well-wishing.n.01,an expression of good will from one person to another,well-wishing,Q573342,well where wishes are thought to be granted,"Wishing_well,Wishing_well,wishing_well,Wishing_Well,Wishing_well",7|8
junoesque.s.01,suggestive of a statue,"Junoesque,statuesque",Q179700,sculpture primarily concerned as a representational figure,"statue,Statue,mini_statue,sculpture,statue,Statue,statutory,mini-statue,sculptural_figures,equestrian_statue,Figure,colossus,statues,Lifesize_bust,colossal,stone,Statuary,Life-sized_statue,in-the-round,Life-size_statue,statuary,statuesque_or_monolithic_depiction,Colossi,Life-sized_bust",7|8
haemanthus.n.01,genus of African deciduous or evergreen bulbous herbs: blood lilies,"Haemanthus,genus_Haemanthus",Q886510,genus of plants,"Haemanthus,Haemanthus,Paintbrushes,Golden_paintbrush,blood_lily,Haemanthus,paintbrush",7|8
soutache.n.01,a narrow braid used as a decorative trimming,soutache,Q472927,narrow ornamental tape or braid,"galloon,Galloon,Galloon,galloon",7|8
illuminance.n.01,the luminous flux incident on a unit area,"illuminance,illumination",Q194411,"total luminous flux incident on a surface, per unit area","illuminance,luminous_emittance,luminous_exitance,Illuminance,Illuminance,intensity_of_light,light_intensities,lighting_intensity,illumination,light_level,intensity,illuminance",7|8
fort_wayne.n.01,a city in northeastern Indiana,Fort_Wayne,Q49268,"county seat of Allen County, Indiana, United States","Fort_Wayne,Fort_Wayne,_Indiana,Fort_Wayne,_Indiana,Lafayette_Township,Fort_Wayne's,Fort_Wayne,_Indiana#Sports,Ft._Wayne,Bloomington,Fort_Wayne,_Indiana's,Fort_Wayne,_Indiana#Government,Fort_Wayne,_Indiana#Metropolitan_area,Fort_Wayne,_Indiana,_USA,Fort_Wayne,_Indiana,Fort_Wayne,_Indiana_Civic_Theatre,Fort_Wayne_Electric_Co.,Fort_Wayne,Metropolitan_Ft._Wayne,North_Manchester,Youtheatre,Fort_Wayne-South_Bend,_Indiana,West_Central_Fort_Wayne,_Indiana,City_of_Fort_Wayne,Ft._Wayne,_IN,Fort_Wayne_area,Downtown_Fort_Wayne,_Indiana,Fort_Wayne,_Indiana#History,Fort_Wayne,,Williams_Theatre,Fort_Wayne,_Ind.,Fort_Wayne,_IN,Indiana",7|8
left-handed.a.01,using or intended for the left hand,left-handed,Q789447,preference for using one's left hand rather than the right,"left-handedness,left_handedness,southpaw,Left-handedness,seven_to_ten_percent,southpaw,left,lefty,Handwriting_in_left-handed_people,left-handers,Left-handed,-LH),left-handedness,left-footed,Left,left-hand,Left-hander,Left-hand,left-handed,Left-footed,Negative_associations_of_left-handedness_in_language,left_hand,left-hander,Left-handedness",7|8
mouflon.n.01,wild mountain sheep of Corsica and Sardinia,"mouflon,moufflon,Ovis_musimon",Q189466,species of sheep native to North America,"Bighorn_sheep,Ovis_canadensis,Bighorn_sheep,California_Bighorn_Sheep,California_bighorn_sheep,Bighorn_Sheep,Ram,mountain_sheep,Rocky_Mountain_bighorn_sheep,Rocky_Mountain_Bighorn_Sheep,Desert_bighorn_sheep_(Ovis_canadensis_nelsoni),Rams,ram,bighorn,Rocky_Mountain_sheep,Rocky_Mountain_Bighorn_(''Ovis_canadensi_canadensis''),big_horn_ram's,Ovis_canadensis,rams,long-horned_sheep,bighorn_sheep_(''Ovis_canadensis''),bighorn_sheep,bighorns,Bighorn_sheep,ram's,big-horn_sheep,Peninsular_bighorn_sheep,Bighorn_sheep#Current",7|8
ring_vaccination.n.01,administering vaccine only to people in close contact with an isolated infected patient; prevents the spread of a highly infectious disease by surrounding the patient with a ring of immunization,ring_vaccination,Q14278918,vaccination strategy,"ring_vaccination,Ring_vaccination,ring_vaccination,Ring_vaccination",7|8
brown_lacewing.n.01,small dark-colored lacewing fly,"brown_lacewing,hemerobiid,hemerobiid_fly",Q2518266,species of brown lacewing,Zachobiella_striata,7|8
river_prawn.n.01,large Australian prawn,river_prawn,Q2700085,species of crustacean,"Macrobrachium_rosenbergii,Macrobrachium_rosenbergii,giant_river_prawn,giant_freshwater_prawn,Macrobrachium_rosenbergii,Macrobrachium_Rosenbergii,Giant_river_prawn,giant_river_prawns,freshwater_shrimp,scampi_(giant_freshwater_prawn)",7|8
credit_crunch.n.01,a state in which there is a short supply of cash to lend to businesses and consumers and interest rates are high,"credit_crunch,liquidity_crisis,squeeze",Q896666,global financial crisis,"financial_crisis_of_2007–08,financial_crisis_of_2008,Global_Financial_Crisis,Financial_crisis_of_2007-2008,GFC,Financial_crisis_of_2007–2008,2008-09_financial_crises,financial_crisis,Global_Financial_Crisis,Financial_Crisis_2007-08,the_economy,world_financial_crisis,global_financial_crisis,2000s_financial_crisis,2008_economic_crisis,financial_crisis_of_2008,US_financial_crisis,financial_tsunami,financial_crises_that_began_in_2007,post-2007_global_financial_crisis,global_financial_crisis_started_in_2007,current_financial_crisis,Financial_crisis_of_2008,Then_bury_all_your_money_in_the_backyard_like_a_Beagle,crash_of_2007-2008,sharp_drop,late_2000s_financial_crisis,credit_crunch,financial_struggle,2008_Global_Financial_Crisis,2008_crisis,current_economic_conditions,2007–2008_financial_crisis,the_global_financial_crisis,financial_crisis_affecting_the_U.S.,Financial_crisis_of_2007–2008,banking_crisis_of_2008,severe_market_downturn_of_2008-09,financial_crises,2008_global_recession,Global_Financial_Crisis_of_the_2000s,2007_global_financial_crisis,worldwide_financial_crisis,Global_economic_crisis,Late_2000s_financial_crisis,financial_crisis_of_2007–2008,2008_financial_crisis,2008_global_financial_crisis,2008_financial_meltdown,banking_crisis,current_economic_climate,global_credit_crisis,Global_Financial_crisis_of_2007–2008,global_economic_crisis,credit_crisis,recent_economic_crisis,2008_economic_downturn,Financial_crisis_of_2007&ndash;2008,2007-2009_financial_crisis,recent_recession",7|8
foolscap.n.01,a size of paper used especially in Britain,foolscap,Q205299,standard size of paper,"paper_size,paper_format,Paper_size,Letter,_Legal_and_Executive_system,paper_weight,B5_format,folio,proportion_of_height_to_width,size_of_the_full_sheet_of_paper,foolscap,A1_paper,double_demy,legal_size,C4_format,standard_stock_sizes_of_paper,sizes,Paper_size#Loose_sizes,Size_of_paper,letter_size,A3_paper,A5,format,US_Letter,Paper_size#North_American_paper_sizes,paper_size,letter_paper,A4_pages,B_series,8.5&nbsp;in_×_11&nbsp;in_North_American_paper_size,A8,A1-sized,C8,G5,A3,A3_format,Paper_size:_loose_sizes,Paper_size#Tablet_sizes,legal-sized_paper,Paper_Size,A4-sized,B5,demy_size,420_mm_x_315_mm,tabloid_format,A4_format,B5_paper_size,A-4,duodecimo,ISO_A5,standard_size,A6_size,A0_paper,B5_size,quarto_paper,size,B6,letter-size,legal-sized,legal-size,Swedish_extensions,Paper_size#Other_sizes,legal_sized,A3-sized,B8,Paper_size#Current_U.S._loose_paper_sizes,international_standard_physical_paper_sizes,A2_paper,Paper_size#Japanese_B-series_variant,C4,Demy,RA4,A2,A4_size,a_specification_for_dimensions_of_unbound_sheets_of_paper,A5_size,inch-based_paper_standard,B-size,A2_paper_size,half_letter,_statement,_or_organizer_L,Paper_size#Traditional_inch-based_paper_sizes,Paper_size#Architectural_sizes,A6,ISO_A5_dimensions,size_of_paper,Paper_size#Swedish_extensions,paper_sizes,weight,size_paper,ANSI_paper_sizes,imperial_folio,many_papers,A4,B4-sized,Paper_size,Japanese_B6,size_of_the_paper_page,US_letter_page",7|8
transistorized.s.01,(of an electronic device) equipped with transistors,"transistorized,transistorised",Q5339,semiconductor device used to amplify and switch electronic signals and electrical power,"transistor,Transistor,Flexible_transistors,discrete,emitters,power_transistors,flexible_transistors,Transistor#Packaging,transistor,transistor_,Semiconductor_Transistors,transistor_switch,TO-3_transistors,3-step_Power-Transhister,transistor_used_as_a_switch,solid-state,Transistor,silicon_transistor,electronic_switch,transistorized,slow,electronic_transistor,semiconductor_technology,bipolar_transistors,transistorised,transistors,Positive_Negative_Positive,base",7|8
scaphocephaly.n.01,congenital malformation of the skull which is long and narrow; frequently accompanied by mental retardation,scaphocephaly,Q16947790,"Familial scaphocephaly syndrome, McGillivray type is a rare newly described craniosynostosis (see this term) syndrome characterized by scaphocephaly, macrocephaly, severe maxillary retrusion, and mild intellectual disability","McGillivray_syndrome,Familial_scaphocephaly_syndrome,_McGillivray_type,SCAPHOCEPHALY,_MAXILLARY_RETRUSION,_AND_MENTAL_RETARDATION,Scaphocephaly-macrocephaly-maxillary_retrusion-intellectual_disability_syndrome,McGillivray_syndrome,McGillivray_syndrome",7|8
canary_seed.n.01,a mixture of seeds used to feed caged birds,canary_seed,Q2086586,species of plant,"Phalaris_canariensis,Canary_grass,Canary_grass,Phalaris_canariensis,Canary_grass,canary_grass,canary_seed",7|8
gravitate.v.01,move toward,gravitate,Q29043579,the hypothesis that people tend to gravitate towards areas of work that fit their name,"Nominative_determinism,Nominative_determinism,last_name,nominative_determinism,Nominative_determinism",7|8
grope.n.01,the act of groping; and instance of groping,grope,Q1072616,touching or fondling another person in a sexual way using the hand,"groping,Groping,Copping_a_Feel,groper,who_molested_Kagura_on_the_train,groped_on_a_train,touching_private_parts,grope,chikan,groping_on_a_train,Groping,grab_women,sexual_touching,Groped,groping,fondling,groped,touch_people_sexually",7|8
diatomaceous_earth.n.01,a light soil consisting of siliceous diatom remains and often used as a filtering material,"diatomaceous_earth,diatomite,kieselguhr",Q193414,"naturally occurring, soft, siliceous sedimentary rock that is easily crumbled into a fine white to off-white powder","diatomaceous_earth,diatomite,Diatomaceous_earth,diatomaceous,Kieselguhr,Diatomaceous_soil,kieselguhr,diatomite,Diatomaceous_earth,celite,diatomaceous_soils,diatom,diatomaceous_shale,diatomaceous_earth,Diatomaceous,Diatomite,Diatomaceous_earth,diatomaceous_earth_filter",7|8
homelessness.n.01,the state or condition of having no home (especially the state of living in the streets),homelessness,Q131327,circumstance when people desire a permanent dwelling but do not have one,"homelessness,no_place_to_stay,life_on_the_street,Homelessness,homeless,transients,he_sleeps_in_his_car,wayward_soul,homeless_person,homeless_single_women_with_children,slept_rough,the_homeless,bum,streets,rough_sleeping,live_on_the_streets,sleeping_rough,Rough_sleepers,derelict,homeless_man,sleep_rough,Homeless_adults,homeless_women,broke,homeless_men,bag_ladies,Homelessness,rough_sleepers,shelter,rough,Homelessness#Contributing_causes,derelicts,houseless,Homeless,street_people,lives_in_streets,bag_lady,homeless_persons,homelessness,destitute,derro,Homeless_Persons,bums,Homelessness#Bum,without_a_home,homeless_people,Sleeping_rough,homeless_bag_lady,homeless_families_and_women,indigent,Vagrants,transient,street_life,Homelessness#Russia_and_the_USSR,homeless_youth,caveless,long-term_homeless,destitute_people,out_of_home_for_being_gay,homeless_population,homelesses",7|8
threepence.n.01,former cupronickel coin of the United Kingdom equal to three pennies,threepence,Q270642,currency,"Irish_pound,Irish_pound,Ir£,£1,punt,pounds,punts,£,IR₤,Five_pence,Penny,pence,Punt,Irish_pre-decimal_system,Ten_Shilling,(old)_pence,Irish_pound,Sixpence,£67,500,the_peg_was_removed,Irish_punt,IR£660,000,Ten_pence,Half_crown,IEP,Farthing,pound,penny,Threepence,Twenty_pence,Irish_pound,Florin,IR£,Shilling,Pound,Saorstát_pound,Two_pence,Halfpenny",7|8
isogram.n.01,a line drawn on a map connecting points having the same numerical value of some variable,"isogram,isopleth,isarithm",Q6653802,line connecting points of the same value on a map,"contour_line,isohyet,isoline,isarithm,isopleth,Contour_line,iso-density_surface,isoline,contour_mapping.,isotachs,elevation_contours,contour_line_construction,Contour_line#Isopleths,Contour_line#Temperature_and_related_subjects,Contour_line,isotherms,Contour,Contour_line#Other_phenomena,contour_plot,isallobars,contour_maps,Contour_line#Precipitation_and_air_moisture,Contour_line#Barometric_pressure,contours,isopleths,Isobar_(meteorology),Contour_line#Wind,Contour_line#Types_of_contour_lines,isobars,isophotes,contour_charts,contour_map,contour,isotherm,isothermal,contouring,isolines,iso_curves,ring_contour,contour_line#Precipitation_and_air_moisture,isophote,contoured,tropics,Contour_plot,contour_line,isohyet,Equipotential_lines,isobar,July-isotherm,Contour_line#Magnetism,Contour_map,Contour_line#Ecology,contour_surfaces,Contour_lines,isarithmic",7|8
caesura.n.02,a break or pause (usually for sense) in the middle of a verse line,caesura,Q247417,complete pause in a line of poetry and/or in a musical composition,"caesura,Caesura,word_breaks,Cesura,cæsura,medial_caesura,Figure,_mute,Caesura,Caesura_in_vocal_music,caesura,BATON",7|8
love_feast.n.01,a social gathering intended to create goodwill among the participants,love_feast,Q2670127,Certain religious meals among early Christians that seem to have been originally closely related to the Eucharist,"Agape_feast,love_feast,Agape_feast,''agape'',agape_feast,Lord's_Supper,''agape''_feasts,agapae,love_feast,agape,Agape_feast,Agapæ,agapes,communal_love_feast,agape_tables,Agape,Love_Feast",7|8
chaetal.a.01,of or relating to chaetae (setae or bristles),chaetal,Q57572892,article,"Hair_today,_gone_tomorrow:_induced_chaetal_changes_in_tubificid_oligochaetes",7|8
angiogenesis.n.01,the formation of new blood vessels,angiogenesis,Q539568,blood vessel formation when new vessels emerge from existing vessels,"angiogenesis,blood_vessel_formation_from_pre-existing_blood_vessels,Angiogenesis,antiangiogenic,revascularization,proangiongenic,neo-angiogenesis,Angiogenesis#Sprouting_angiogenesis,growth_of_bloodvessels_in_tumors,blood_vessel_construction,blood_cell_growth,blood_vessels_grow,growth_of_new_blood_vessels,vascularization,formation_of_blood_vessels,vascularisation,angiogensis,blood_vessel_development,Angiogenic,proangiogenic,vascularized,anti-angiogenic,angiogenesis,angiogenesis#Tumor_angiogenesis,angiogenic,grow_new_blood_vessels,tumor_angiogenesis,pro-angiogenic,new_blood_vessel_formation,tumour_angiogenesis,Angiogenesis,angiogenic_growth_factors,angiogenic_stimulators,the_growth_of_new_blood_vessels,vascularize,blood_vessel_formation,Intussusceptive_angiogenesis,vasculature",7|8
leather.n.01,an animal skin made smooth and flexible by removing the hair and then tanning,leather,Q286,durable and flexible material created by the tanning of animal rawhide and skin,"leather,Leather,its_leather,cattle_skin,cordovan,leather_seats,furriery,leather_manufacturing,animal_skins,sheepskin,Leather#Preservation_and_conditioning,thong,Pigskin,animal_skins_or_hides,skin,Leather_goods,eather,cow_hides,leather-craft,pigskin,Leather#Forms,leather_pants,pig_skin,Tanned_Equine_and_Bovine_Hides,animal_hides,leather#Types,tanned_leather,Leather#Further_reading,Leather_Binding,cordwain,full_grain_leather,leather_manufacturer,black_leather,leather_goods,Leather#Environmental_impact,Cordovan,Leather#Book_binding,brain-tan,other_environmental_impacts_of_leather,vegetable_tanned,chrome-tanned,Leather#Types,Leather#Vegetable-tanned_leather,Leather:_preservation_and_conditioning,Leather_manufacturing,full-grain_leather,animal_skin,skins,cattle_hides,leather_workers,Pigskin_leather,cow_leather,Leather,tanned_hide,Leather_Goods,leather_upholstery,leather,chrome_tanning,leather_alternatives,Wet_Blue",7|8
sepia.n.02,rich brown pigment prepared from the ink of cuttlefishes,sepia,Q767608,"reddish-brown color, named after the rich brown pigment derived from the ink sac of the common cuttlefish Sepia","sepia,sepia_color,color_sepia,sepia_colour,colour_sepia,Sepia_(color),sepia,colouring_pigment,a_brown_pigment,sepia_(color),Sepia,sepias",7|8
poison.v.05,administer poison to,poison,Q40867,substance that causes disturbances to organisms,"poison,Poison,Poison,poison_brewing,enhancing_elimination,poisonous_plant,poison_gas,dangerous_chemicals,noxious,baited,Poisoning,poisoned,substance,self-poisoning,poisonous_gases,poisonous_substances,Noxious,poison,poisonous_substance,toxicity,metabolic_poison,toxic_hazard,toxic,Poison#Poisoning,poisoning,toxic_substances,poisoner,toxic_substance,poisonous_gas,tastes_of_bitter_almonds,decontamination_of_poison_ingestion,POISON,poisoning_substances,posioning,acute_poisoning,natural_poisons,death-drink,Doku,Poison#Decontamination,Toxic",7|8
fuel_gauge.n.01,an indicator of the amount of fuel remaining in a vehicle,"fuel_gauge,fuel_indicator",Q1786026,fuel measurement,"Fuel_gauge,gas_gauge,Fuel_gauge,Fuel_gauge,fuel_light,fuel_gauge,gauging",7|8
full_nelson.n.01,a wrestling hold in which the holder puts both arms under the opponent's arms and exerts pressure on the back of the neck (illegal in amateur wrestling),full_nelson,Q961892,grappling hold which is executed from the backside of the opponent,"nelson_hold,Nelson_hold,Nelson_hold,Nelson_hold#Half_nelson,full_Nelson,Masterlock,Master_Lock_Challenge,half-nelson_grip,Half,Nelson_hold#Full_nelson,wrestling_hold_of_the_same_name,Nelson_hold#Three-quarter_nelson,Tazzmission,Modified_full_nelson,Nelson,Hydra_Lock,Elevated_full_nelson,Lifting_spinning_full_nelson,nelson_hold,quarter-nelson,full_nelson_hold,Half-nelson,half_Nelson,full_nelson,Half-Nelson,Hagai_Shime,Full_nelson,half_nelson,Half_nelson,Master_Lock,Nelson_hold#Quarter_nelson,Swinging_full_nelson,Double_Nelson",7|8
autoregulation.n.01,(physiology) processes that maintain a generally constant physiological state in a cell or organism,autoregulation,Q1364253,"process within many biological systems, resulting from an internal adaptive mechanism that works to adjust (or mitigate) that system's response to stimuli","autoregulation,Autoregulation,self-regulation,homeometric_and_heterometric_regulatory_mechanisms,osmotic_regulation,autoregulatory,renal_autoregulation,autoregulation,Autoregulation,transcriptional_autoregulation,Cerebral_autoregulation",7|8
standard_transmission.n.01,a transmission that is operated manually with a gear lever and a clutch pedal,"standard_transmission,stick_shift",Q1208529,type of transmission used in motor vehicle applications,"manual_transmission,manual_gearbox,stick_shift,n-speed_manual,M/T,stick,MT,Manual_Transmission,_MT,Manual_transmission,constant_mesh,non-synchronized,column-mounted_shifter,Manual_transmission#Synchromesh,manual_gearbox_shifter,Manual,five-speed_manual,manual-transmission,synchromesh_gearbox,four-speed_transmission,Synchromesh,transmissions,6-speed_manual,manual_(synchromesh_on_2nd_3rd_and_top_gears,_no_overdrive),Reverse,gearbox,transmission,Synchromesh_transmission,manual_overdrive_transmissions,gearshift,console_shift,Synchronized_transmission,synchronizer,input,finger_shift,Transmission,unsynchronized_transmissions,synchronization,sequential_gearbox,synchronizers,M/T,manual_gearbox,fully_synchronized,sequential_manual,stick_shift,Synchronous_rings,synchronized,three-speed_gear_box,constant_mesh_gearbox,sliding-gear,column-mounted_gear_lever,Manual_transmission#Synchronized_transmission,synchronised_manual_type,manuals,unsynchronized/non-synchronous,Manual_transmission,shifting_mechanism_for_a_three-speed_manual_transmission,drive_stick,4-MT,column_mounted_tranmsmission_levers,four_speed,synchronized_gearbox,four-speed_manual,gearboxes,manual_paddle_shift_gearbox,3-speed_gearbox,synchromesh,column_shift,Stick,transverse_synchro-mesh_gearbox,Manual_transmission#Gear_shift_types,constant_mesh_type,manual_gearbox_shifters,Manual_transmission#Benefits_and_drawbacks,Manual_transmission#Floor-mounted_shifter,manual,Manual_Overdrive,sequential_manual_gearbox,5-speed_manual,Manual_transmission#Finger_shift,transmission_synchronizers,dog_clutch,four_on_the_floor,manually,manual_automotive_transmission,unsynchronized_manual_transmission,''manual'',Unsynchronized_transmission,Manual_transmission#Crash_gearbox,column_change,Gearbox,hand-lever_clutch,manual_transmission,synchromesh_transmission,Gear_selection,synchro_hub,synchronizing_mechanisms,Manual_transmission#\,synchronized_transmission,Synchronizer_rings,stick,MT,manual_transmission#Synchromesh,unsynchronised_manual_rear_transaxle,floor_shift,stick-shift,manual_gearboxes,manual,_unsynchronized_transmission,three-speed_manual,a_system_of_gear_change,unsynchronized,column_mounted_shifter,sliding-gear_transmission,synchromesh_manual_transmission",7|8
fragment.n.01,a piece broken off or cut off of something else,fragment,Q11086567,"portion of an object that is torn, broken off from, or dislocated from its original whole",fragment,7|8
flummery.n.01,a bland custard or pudding especially of oatmeal,flummery,Q5462783,"starch-based, sweet, soft dessert pudding from the 18th–19th century UK and Ireland","flummery,Flummery,flummery,Flummery",7|8
superfine.s.01,of extremely fine size or texture,superfine,Q3502834,Very fine sugar,"Caster_sugar,Superfine_sugar",7|8
glossopharyngeal_nerve.n.01,sensory nerve to the pharynx and back of the tongue; motor fibers innervate muscles that elevate the pharynx and larynx; includes parasympathetic fibers to the otic ganglion,"glossopharyngeal_nerve,nervus_glossopharyngeus,ninth_cranial_nerve",Q21131632,"Various sensory and motor branches of the glossopharyngeal nerve supply nerve connections to the pharynx and back of the tongue. The branchial motor component contains motor fibers that innervate muscles that elevate the pharynx and larynx, and the t","glossopharyngeal_nerve_development,cranial_nerve_9_development,cranial_nerve_IX_development,CN_IX_development",7|8
false_scorpion.n.01,small nonvenomous arachnid resembling a tailless scorpion,"false_scorpion,pseudoscorpion",Q19119,order of arachnids,"pseudoscorpion,Pseudoscorpionida,false_scorpion,book_scorpion,Pseudoscorpiones,Pseudoscorpion,pseudoscorpion,Pseudoscorpion,Pseudoscorpionida,Pseudoscorpions,false-scorpions",7|8
hopefulness.n.01,full of hope,hopefulness,Q17582962,hope,"Hopeful_(Bars_and_Melody_song),Hopeful_(Bars_and_Melody_song),Hopeful_(Bars_and_Melody_song),\,Hopeful",7|8
turban.n.01,a traditional Muslim headdress consisting of a long scarf wrapped around the head,turban,Q2460567,"headdress consisting of a tight-fitting cap around which is wound a long cloth, or visual similar headgear","turban,Turban,pheta,taanka,Pagri,Paghdi,Chalma,sarık,Turban#Islam,Turban,turban,chalma",7|8
price.n.07,United States operatic soprano (born 1927),"Price,Leontyne_Price,Mary_Leontyne_Price",Q233718,American soprano,"Leontyne_Price,Mary_Violet_Leontyne_Price,Leontyne_Price,Leontyne_Price,Price",7|8
half-holiday.n.01,a day on which half is free from work or duty,half-holiday,Q55329533,(Royal Commission) Royal commission chaired by Mr Justice Street which investigated the proposal to close shops at 1pm on Saturdays.,Royal_Commission_into_Saturday_Half_Holiday_1909,7|8
brussels_lace.n.01,fine lace with a raised or applique design,Brussels_lace,Q4845699,type of bobbin lace,"Brussels_lace,English_point,point_d'Angleterre,Brussels_lace,Duchesse_lace,Brussels,Brussels_lace",7|8
effervescence.n.01,the process of bubbling as gas escapes,effervescence,Q2797526,fizzing or foaming caused by the escape of gas from a solution,"effervescence,Effervescence,effervescent,Effervesces,effervescence,effervesces,effervesce,Effervescence,sparkling,fizzy,fizziness",7|8
vespasian.n.01,Emperor of Rome and founder of the Flavian dynasty who consolidated Roman rule in Germany and Britain and reformed the army and brought prosperity to the empire; began the construction of the Colosseum (9-79),"Vespasian,Titus_Flavius_Sabinus_Vespasianus",Q1419,"Emperor of Ancient Rome, founder of the Flavian dynasty","Vespasian,Titus_Flavius_Vespasianus,Caesar_Vespasianus_Augustus,Emperor_Vespasian,Kaiser_Vespasian_Römisches_Reich,Emperor_of_Rome_Vespasianus,Emperor_of_Rome_Vespasian,Titus_Flavius,_imperatore_romano_Vespasianus,Emperor_of_Rome_Vespesiano,Emperador_de_Roma_Vespasiano,Vespasianus,Vespasian,Titus_Flavius_Vespasianus,Vespasian,Imp._Caesar_Vespasianus_Augustus,Flavians,Titus_Flavius_Vespasian,Augustus,General_Vespasian,T._Flavius_Vespasian,Emperor_Vespasian,T._Flavius_Vespasianus,Vespasianus_Augustus,Titus_Flavius_T._f._T._n._Sabinus_Vespasianus,the_Emperor_Vespasian,Titus_Flavius_Caesar_Vespasianus_Augustus,Titus_Flavius,Titus_Caesar_Vespasianus,Vespasian's,Emperor_Titus_Flavius_Caesar_Vespasianus_Augustus",7|8
hubbard.n.02,"a mountain peak in southeastern Alaska that is part of the Coast Range (14,950 feet high)","Hubbard,Mount_Hubbard",Q612894,mountain,"Mount_Hubbard,Mount_Hubbard,Mount_Hubbard",7|8
filter.n.01,device that removes something from whatever passes through it,filter,Q327754,"electronic circuit that removes unwanted components from the signal, or enhances wanted ones, or both","electronic_filter,filter,Electronic_filter,Filters,pass_filter,Filter_circuits,Electronic_filter,equalisers,quartz_filter,filter_network,RC_phase-shift_network,passive_filters,traps,Filter,surface_acoustic_wave,Filtering,single_element_circuits,electronic,filtering,Electronic_filter#SAW_filters,filtered_out,tuned_filters,filter_circuits,filters,phase-shift_network,Pultec_HLF_filter,linear_filter,RF_filter,frequency_filters,electronic_filter,filter,resonant_frequency,filtered,unfiltered,analog_filters,SAW",7|8
matricide.n.02,the murder of your mother,matricide,Q1136456,act of killing one's mother,"matricide,Matricide,matricide,killing_his_mother,her_mother,mother,killing,executes_his_mother,Matricide,matricidal,killed_his_mother,Killing_and_eating_his_mother,murdering_his_mother,murder_of_his_mother,killing_her,murder_Lois",7|8
fish-liver_oil.n.01,a fatty oil obtained from the livers of various fish,"fish-liver_oil,fish_oil",Q1786125,oil derived from the tissues of oily fish,"fish_oil,Fish_oil,oils,Fish_Oil_Capsules,oily_fish,fish,fish_oil,Fish_oil_supplement,Fish_oil_supplementation,marine_oils,cod_fish_oil,A&D,fish_oil_supplement,oil,Fish_oil,fish_liver_oils,fish_body_oils",7|8
heimlich_maneuver.n.01,an emergency procedure to help someone who is choking because food is lodged in the trachea,"Heimlich_maneuver,Heimlich_manoeuvere",Q19275831,mechanical obstruction of the flow of air from the environment into the lungs,"choking,Choking,treatment_of_choking,Heimlich_Maneuver,choking_hazard,choke_to_death,abdominal_thrusts,safety_reasons,what_to_do_if_you_or_part_of_you_is_swallowed,\,choke,airway_obstruction,an_object_stuck_in_the_throat,Heimlich_manoeuvre,Heimlich_maneuver,choking,choked,chokes,heimlich_maneuver,Heimlich,Choking",7|8
